id,school,grade,class,treatment,treated_quarter,teacher_q1,teacher_q2,teacher_q3,teacher_q4,female,age,hispanic,other_race,black,white,MAP_math_RIT_Fall2014,MAP_read_RIT_Fall2014,MAP_math_RIT_Winter2015,MAP_read_RIT_Winter2015,MAP_math_RIT_Fall2015,MAP_read_RIT_Fall2015,MAP_math_RIT_Winter2016,MAP_read_RIT_Winter2016,MAP_math_RIT_Fall2016,MAP_read_RIT_Fall2016,MAP_math_RIT_Fall2017,MAP_read_RIT_Fall2017,MAP_math_RIT_Winter2017,MAP_read_RIT_Winter2017,MAP_math_RIT_Spring2017,MAP_read_RIT_Spring2017,MAP_math_RIT_Winter2018,MAP_read_RIT_Winter2018,MAP_math_RIT_Spring2018,MAP_read_RIT_Spring2018,tookread_hardest_q1_1617,tookread_medium_q1_1617,tookread_easiest_q1_1617,tookread_hardest_q2_1617,tookread_medium_q2_1617,tookread_easiest_q2_1617,tookread_hardest_q3_1617,tookread_medium_q3_1617,tookread_easiest_q3_1617,tookread_hardest_q4_1617,tookread_medium_q4_1617,tookread_easiest_q4_1617,tookmath_hardest_q1_1617,tookmath_medium_q1_1617,tookmath_easiest_q1_1617,tookmath_hardest_q2_1617,tookmath_medium_q2_1617,tookmath_easiest_q2_1617,tookmath_hardest_q3_1617,tookmath_medium_q3_1617,tookmath_easiest_q3_1617,tookmath_hardest_q4_1617,tookmath_medium_q4_1617,tookmath_easiest_q4_1617,disc_1415,disc_1516,disc_1617,disc_q1_1617,disc_q2_1617,disc_q3_1617,disc_q4_1617,disc_1718,disc_1819,DaysAbsent_1415,DaysAbsent_1516,DaysAbsent_1617,DaysAbsent_1718,DaysAbsent_1819,enrollment_1415,enrollment_1516,enrollment_1617,enrollment_1718,enrollment_1819,ScanQuest5_PRE,ScanQuest6_PRE,ScanQuest13_PRE,ScanQuest14_PRE,ScanQuest15_PRE,ScanQuest16_PRE,ScanQuest19_PRE,ScanQuest20_PRE,ScanQuest5_POST,ScanQuest6_POST,ScanQuest13_POST,ScanQuest14_POST,ScanQuest15_POST,ScanQuest16_POST,ScanQuest19_POST,ScanQuest20_POST,ScanQuest8_A_PRE,ScanQuest8_B_PRE,ScanQuest8_C_PRE,ScanQuest8_D_PRE,ScanQuest9_A_PRE,ScanQuest9_B_PRE,ScanQuest9_C_PRE,ScanQuest9_D_PRE,ScanQuest8_A_POST,ScanQuest8_B_POST,ScanQuest8_C_POST,ScanQuest8_D_POST,ScanQuest9_A_POST,ScanQuest9_B_POST,ScanQuest9_C_POST,ScanQuest9_D_POST,ScanQuest12_A_PRE,ScanQuest12_B_PRE,ScanQuest12_C_PRE,ScanQuest12_D_PRE,ScanQuest12_A_POST,ScanQuest12_B_POST,ScanQuest12_C_POST,ScanQuest12_D_POST,enrolled_college,public_college,private_college,is2year_college,is4year_college,treatment_Combined,treatment_control,treatment_Goals,treatment_Math
127001,1,7,127,Combined,1,,,,,0,12,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,229,215,233,218,229,221,NA,NA,NA,NA,239,224,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,1,1,NA,0,0,1,1,0,2,0,3,4,2,3,2,4,0,0,3,3,1,2,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0
127003,1,7,128,Goals,1,,,,,0,13,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,209,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,1,0,0,2,1,1,2,1,1,1,4,1,1,2,4,2,3,2,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127004,1,7,126,control,1,,,,,0,14,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,205,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,1,0,0,2,0,2,0,2,3,2,3,2,1,2,3,2,3,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
127007,1,7,122,Math,1,,,,,0,12,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,212,211,213,216,216,209,208,203,222,237,222,206,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,NA,NA,0,1,1,NA,0,0,1,1,0,2,2,0,0,2,3,1,1,1,1,0,0,3,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127008,1,7,122,Math,1,,,,,0,13,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,204,201,NA,NA,214,210,211,209,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,1,0,0,2,0,3,3,2,3,2,0,2,1,3,3,4,4,4,4,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
127009,1,8,126,control,1,,,,,0,14,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,161,160,NA,NA,199,212,190,203,NA,NA,NA,NA,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,NA,0,0,0,0,0,0,NA,NA,NA,3,1,NA,NA,0,1,1,0,0,0,0,2,0,1,0,4,1,2,1,0,2,0,3,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
127011,1,7,127,Combined,1,,,,,0,13,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,242,242,241,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,NA,0,2,1,1,0,0,0,NA,NA,0,2,0,NA,0,0,1,1,0,1,0,3,1,4,4,4,4,2,1,4,3,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0
127014,1,8,126,control,1,,,,,0,13,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,183,192,NA,NA,184,183,184,203,NA,NA,NA,NA,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0
127016,1,7,121,Math,1,,,,,1,13,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,199,197,NA,NA,204,208,197,179,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,NA,NA,NA,0,2,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,0,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,1,1,0,1,1,0,0,0,0,1
127019,1,7,128,Goals,1,,,,,1,12,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,216,213,222,209,226,187,222,203,220,210,232,215,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,NA,NA,0,1,0,NA,0,0,1,1,0,2,3,1,0,2,3,0,2,3,2,3,2,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
