"","m","r","ratio","n"
"1",1,1,1,125.582075994485
"2",2,1,2,94.186556995864
"3",3,1,3,83.7213839963236
"4",4,1,4,78.4887974965534
"5",5,1,5,75.3492455966912
"6",6,1,6,73.2562109967831
"7",7,1,7,71.7611862825631
"8",8,1,8,70.639917746898
"9",9,1,9,69.7678199969363
"10",10,1,10,69.070141796967
"11",11,1,11,68.4993141788102
"12",12,1,12,68.0236244970129
"13",13,1,13,67.6211178431844
"14",14,1,14,67.2761121399029
"15",15,1,15,66.9771071970589
"16",16,1,16,66.7154778720704
"17",17,1,17,66.4846284676687
"18",18,1,18,66.2794289970895
"19",19,1,19,66.0958294707818
"20",20,1,20,65.9305898971048
"21",1,2,0.5,94.186556995864
"22",2,2,1,62.7910379972427
"23",3,2,1.5,52.3258649977022
"24",4,2,2,47.093278497932
"25",5,2,2.5,43.9537265980699
"26",6,2,3,41.8606919981618
"27",7,2,3.5,40.3656672839417
"28",8,2,4,39.2443987482767
"29",9,2,4.5,38.372300998315
"30",10,2,5,37.6746227983456
"31",11,2,5.5,37.1037951801889
"32",12,2,6,36.6281054983916
"33",13,2,6.5,36.2255988445631
"34",14,2,7,35.8805931412815
"35",15,2,7.5,35.5815881984375
"36",16,2,8,35.319958873449
"37",17,2,8.5,35.0891094690474
"38",18,2,9,34.8839099984682
"39",19,2,9.5,34.7003104721604
"40",20,2,10,34.5350708984835
"41",1,3,0.333333333333333,83.7213839963236
"42",2,3,0.666666666666667,52.3258649977022
"43",3,3,1,41.8606919981618
"44",4,3,1.33333333333333,36.6281054983916
"45",5,3,1.66666666666667,33.4885535985294
"46",6,3,2,31.3955189986213
"47",7,3,2.33333333333333,29.9004942844013
"48",8,3,2.66666666666667,28.7792257487362
"49",9,3,3,27.9071279987745
"50",10,3,3.33333333333333,27.2094497988052
"51",11,3,3.66666666666667,26.6386221806484
"52",12,3,4,26.1629324988511
"53",13,3,4.33333333333333,25.7604258450226
"54",14,3,4.66666666666667,25.4154201417411
"55",15,3,5,25.1164151988971
"56",16,3,5.33333333333333,24.8547858739086
"57",17,3,5.66666666666667,24.6239364695069
"58",18,3,6,24.4187369989277
"59",19,3,6.33333333333333,24.23513747262
"60",20,3,6.66666666666667,24.069897898943
"61",1,4,0.25,78.4887974965534
"62",2,4,0.5,47.093278497932
"63",3,4,0.75,36.6281054983916
"64",4,4,1,31.3955189986213
"65",5,4,1.25,28.2559670987592
"66",6,4,1.5,26.1629324988511
"67",7,4,1.75,24.6679077846311
"68",8,4,2,23.546639248966
"69",9,4,2.25,22.6745414990043
"70",10,4,2.5,21.9768632990349
"71",11,4,2.75,21.4060356808782
"72",12,4,3,20.9303459990809
"73",13,4,3.25,20.5278393452524
"74",14,4,3.5,20.1828336419709
"75",15,4,3.75,19.8838286991268
"76",16,4,4,19.6221993741383
"77",17,4,4.25,19.3913499697367
"78",18,4,4.5,19.1861504991575
"79",19,4,4.75,19.0025509728498
"80",20,4,5,18.8373113991728
"81",1,5,0.2,75.3492455966912
"82",2,5,0.4,43.9537265980699
"83",3,5,0.6,33.4885535985294
"84",4,5,0.8,28.2559670987592
"85",5,5,1,25.1164151988971
"86",6,5,1.2,23.023380598989
"87",7,5,1.4,21.5283558847689
"88",8,5,1.6,20.4070873491039
"89",9,5,1.8,19.5349895991422
"90",10,5,2,18.8373113991728
"91",11,5,2.2,18.2664837810161
"92",12,5,2.4,17.7907940992188
"93",13,5,2.6,17.3882874453903
"94",14,5,2.8,17.0432817421087
"95",15,5,3,16.7442767992647
"96",16,5,3.2,16.4826474742762
"97",17,5,3.4,16.2517980698746
"98",18,5,3.6,16.0465985992954
"99",19,5,3.8,15.8629990729876
"100",20,5,4,15.6977594993107
"101",1,6,0.166666666666667,73.2562109967831
"102",2,6,0.333333333333333,41.8606919981618
"103",3,6,0.5,31.3955189986213
"104",4,6,0.666666666666667,26.1629324988511
"105",5,6,0.833333333333333,23.023380598989
"106",6,6,1,20.9303459990809
"107",7,6,1.16666666666667,19.4353212848608
"108",8,6,1.33333333333333,18.3140527491958
"109",9,6,1.5,17.4419549992341
"110",10,6,1.66666666666667,16.7442767992647
"111",11,6,1.83333333333333,16.173449181108
"112",12,6,2,15.6977594993107
"113",13,6,2.16666666666667,15.2952528454822
"114",14,6,2.33333333333333,14.9502471422006
"115",15,6,2.5,14.6512421993566
"116",16,6,2.66666666666667,14.3896128743681
"117",17,6,2.83333333333333,14.1587634699665
"118",18,6,3,13.9535639993873
"119",19,6,3.16666666666667,13.7699644730795
"120",20,6,3.33333333333333,13.6047248994026
"121",1,7,0.142857142857143,71.7611862825631
"122",2,7,0.285714285714286,40.3656672839417
"123",3,7,0.428571428571429,29.9004942844013
"124",4,7,0.571428571428571,24.6679077846311
"125",5,7,0.714285714285714,21.5283558847689
"126",6,7,0.857142857142857,19.4353212848608
"127",7,7,1,17.9402965706408
"128",8,7,1.14285714285714,16.8190280349757
"129",9,7,1.28571428571429,15.946930285014
"130",10,7,1.42857142857143,15.2492520850447
"131",11,7,1.57142857142857,14.6784244668879
"132",12,7,1.71428571428571,14.2027347850906
"133",13,7,1.85714285714286,13.8002281312621
"134",14,7,2,13.4552224279806
"135",15,7,2.14285714285714,13.1562174851366
"136",16,7,2.28571428571429,12.8945881601481
"137",17,7,2.42857142857143,12.6637387557464
"138",18,7,2.57142857142857,12.4585392851672
"139",19,7,2.71428571428571,12.2749397588595
"140",20,7,2.85714285714286,12.1097001851825
"141",1,8,0.125,70.639917746898
"142",2,8,0.25,39.2443987482767
"143",3,8,0.375,28.7792257487362
"144",4,8,0.5,23.546639248966
"145",5,8,0.625,20.4070873491039
"146",6,8,0.75,18.3140527491958
"147",7,8,0.875,16.8190280349757
"148",8,8,1,15.6977594993107
"149",9,8,1.125,14.825661749349
"150",10,8,1.25,14.1279835493796
"151",11,8,1.375,13.5571559312229
